Scenario,Parameter,GenTime(s),"GenCPU(user,sys)",BenchTime(s),"BenchCPU(user,sys)",ReturnCode,Rows,Cols,DuplicatesFound,SchemaViolations,MissingDataSummary
SCALING,num_records=10000,0.04,"(1.268499999999991e-05, 9.823799999999995e-05)",,,-1,,,,,
SCALING,num_records=50000,0.04,"(1.0316000000000014e-05, 8.350699999999997e-05)",,,-1,,,,,
SCALING,num_records=100000,0.04,"(1.0573999999999957e-05, 8.8966e-05)",,,-1,,,,,
MISSINGNESS,missing_rate=0.05,0.04,"(9.717999999999923e-06, 7.979500000000002e-05)",,,-1,,,,,
MISSINGNESS,missing_rate=0.2,0.04,"(1.019599999999986e-05, 8.033200000000002e-05)",,,-1,,,,,
MISSINGNESS,missing_rate=0.5,0.04,"(1.0587000000000053e-05, 8.198799999999996e-05)",,,-1,,,,,
CORRUPTION,invalid_rate=0.05,0.04,"(1.064700000000013e-05, 8.015799999999999e-05)",,,-1,,,,,
CORRUPTION,invalid_rate=0.2,0.04,"(1.1489999999999851e-05, 9.171500000000003e-05)",,,-1,,,,,
CORRUPTION,invalid_rate=0.5,0.04,"(9.997999999999995e-06, 8.090899999999989e-05)",,,-1,,,,,
DUPLICATE_STRESS,duplicate_rate=0.2,0.04,"(9.784000000000095e-06, 8.063899999999997e-05)",,,-1,,,,,
DUPLICATE_STRESS,duplicate_rate=0.3,0.05,"(1.0833000000000023e-05, 8.980399999999997e-05)",,,-1,,,,,
